day;sun;wind;rain;temp
2012-01-01;0.1610714285714285;5.578571428571428;0.0;20.25
2012-01-02;0.2952380952380952;10.82;0.0;18.4
2012-01-03;0.588095238095238;5.171428571428572;0.0285714285714285;19.814285714285713
2012-01-04;0.3252380952380952;3.778571428571428;0.4023809523809523;19.857142857142858
2012-01-05;0.5952380952380951;3.257142857142857;0.07928571428571421;20.47857142857143
2012-01-06;0.9554761904761905;3.5357142857142856;0.0;21.064285714285713
2012-01-07;0.0;3.6833333333333336;1.1863095238095238;17.535714285714285
2012-01-08;0.0;5.619999999999999;0.0285714285714285;17.485714285714288
2012-01-09;0.9939285714285713;8.085714285714285;0.0;20.371428571428577
2012-01-10;0.0;5.5928571428571425;0.08;18.964285714285715
2012-01-11;1.2839285714285715;3.720833333333333;0.0;20.292857142857144
2012-01-12;0.8610714285714285;4.6375;0.0;20.164285714285715
2012-01-13;1.5746428571428572;9.485714285714284;0.1285714285714286;19.478571428571428
2012-01-14;0.8471428571428572;6.057142857142857;0.08964285714285711;18.864285714285717
2012-01-15;1.5880952380952382;6.3999999999999995;0.0;20.392857142857142
2012-01-16;1.57;6.6499999999999995;0.0;19.25714285714286
2012-01-17;0.6303571428571428;4.957142857142857;0.1333333333333332;18.307142857142857
2012-01-18;1.8154761904761902;3.3041666666666667;0.0;20.6
2012-01-19;2.0615476190476194;4.991666666666667;0.0;20.49285714285714
2012-01-20;1.9403571428571427;6.35;0.0071428571428571;20.985714285714288
2012-01-21;1.0138095238095237;5.278571428571428;0.0;20.164285714285715
2012-01-22;0.42380952380952375;5.385714285714285;0.2807142857142857;19.170833333333334
2012-01-23;2.4146428571428573;6.679166666666666;0.0;17.55
2012-01-24;2.5225;5.814285714285714;0.0;18.228571428571428
2012-01-25;2.405119047619048;6.235714285714286;0.0;19.607142857142858
2012-01-26;1.7232142857142858;4.828571428571429;0.0;20.178571428571427
2012-01-27;0.5744047619047618;8.335714285714285;0.6360714285714286;17.65
2012-01-28;0.6749999999999999;6.2857142857142865;0.0;17.185714285714287
2012-01-29;0.6475;9.849999999999998;0.0;18.79285714285714
2012-01-30;1.8514285714285719;5.214285714285714;0.0;20.99285714285714
2012-01-31;0.9129761904761903;3.228571428571428;0.0;21.25714285714286
2012-02-01;1.8746428571428573;7.071428571428571;0.0;20.914285714285715
2012-02-02;0.0857142857142856;4.245833333333334;0.8407142857142857;20.45714285714286
2012-02-03;0.0142857142857142;6.292857142857143;0.02;18.84285714285715
2012-02-04;0.5720238095238095;4.928571428571429;0.0;19.6
2012-02-05;0.7019047619047618;4.8500000000000005;0.0;19.685714285714283
2012-02-06;0.07928571428571421;3.2583333333333333;0.0;19.321428571428573
2012-02-07;1.5003571428571427;2.557142857142857;0.0642857142857143;19.62857142857143
2012-02-08;1.6083333333333334;3.650000000000001;0.8666666666666667;20.192857142857143
2012-02-09;1.7461904761904763;4.185714285714285;0.0;21.32857142857143
2012-02-10;2.195;5.214285714285715;0.0;21.335714285714285
2012-02-11;0.6833333333333333;4.992857142857142;0.3782142857142856;20.507142857142856
2012-02-12;0.0428571428571428;4.814285714285715;0.4688095238095237;19.00714285714286
2012-02-13;1.3067857142857142;3.1000000000000005;0.0;21.271428571428572
2012-02-14;1.4263095238095238;3.564285714285714;0.0142857142857142;21.357142857142858
2012-02-15;0.5547619047619047;2.46;3.2232142857142856;19.854166666666668
2012-02-16;1.872142857142857;3.307142857142858;0.0;21.714285714285715
2012-02-17;1.1053571428571427;1.95;0.6142857142857142;20.300000000000004
2012-02-18;2.205357142857143;4.120833333333334;0.07928571428571421;20.999999999999996
2012-02-19;2.091904761904762;3.692857142857143;0.0;21.03571428571429
2012-02-20;1.3217857142857143;4.542857142857143;0.0;21.942857142857143
2012-02-21;0.7042857142857143;4.342857142857143;0.0;21.392857142857142
2012-02-22;0.0;7.721428571428571;0.4190476190476189;21.5
2012-02-23;0.0238095238095237;5.319999999999999;4.643571428571429;21.639999999999997
2012-02-24;1.1503571428571429;6.75;0.1189285714285714;20.15714285714285
2012-02-25;1.2827380952380953;9.892857142857142;0.0285714285714285;18.54285714285714
2012-02-26;1.6435714285714287;4.95;0.0;18.842857142857145
2012-02-27;1.6189285714285715;3.4875000000000007;0.0;19.4
2012-02-28;1.2201190476190475;4.533333333333333;0.0;19.071428571428573
2012-02-29;0.4401190476190476;5.185714285714286;0.0;19.064285714285713
2012-03-01;0.9235714285714285;12.407142857142858;1.1139285714285714;18.35
2012-03-02;0.0;6.459999999999999;0.0142857142857142;18.27142857142857
2012-03-03;0.9995238095238095;12.757142857142856;0.838095238095238;16.542857142857144
2012-03-04;1.9888095238095238;4.957142857142857;0.0;16.9
2012-03-05;1.341190476190476;2.2714285714285714;0.0;17.364285714285714
2012-03-06;0.24916666666666662;2.9857142857142867;0.0;18.27142857142857
2012-03-07;0.2642857142857143;2.9642857142857144;0.2714285714285714;19.47142857142857
2012-03-08;0.0;3.378571428571429;0.0671428571428571;19.02857142857143
2012-03-09;1.9911904761904762;3.292857142857143;0.0;19.05
2012-03-10;0.3808333333333333;2.792857142857143;0.0;18.885714285714283
2012-03-11;0.0;5.7;0.1023809523809523;19.564285714285713
2012-03-12;0.138095238095238;9.435714285714283;0.3171428571428569;17.314285714285713
2012-03-13;1.6317857142857144;7.8;0.0;19.392857142857142
2012-03-14;1.5245238095238092;3.2571428571428576;0.0;18.47142857142857
2012-03-15;1.2639285714285715;4.291666666666666;0.0;19.000000000000004
2012-03-16;1.8325;2.1928571428571426;0.0;17.964285714285715
