ds;yhat
2024-12-05 09:00:00;11722.113327593886
2024-12-05 09:15:00;11733.096021238156
2024-12-05 09:30:00;11737.004266972212
2024-12-05 09:45:00;11733.977563457196
2024-12-05 10:00:00;11724.140984174142
2024-12-05 10:15:00;11707.654736195323
2024-12-05 10:30:00;11684.76700499849
2024-12-05 10:45:00;11655.864731296848
2024-12-05 11:00:00;11621.517043761158
2024-12-05 11:15:00;11582.506560940436
2024-12-05 11:30:00;11539.844640675648
2024-12-05 11:45:00;11494.767835714125
2024-12-05 12:00:00;11448.71422644423
2024-12-05 12:15:00;11403.279845187097
2024-12-05 12:30:00;11360.156967721347
2024-12-05 12:45:00;11321.057517550478
2024-12-05 13:00:00;11287.626094940395
2024-12-05 13:15:00;11261.348114111894
2024-12-05 13:30:00;11243.459133067208
2024-12-05 13:45:00;11234.861642292411
2024-12-05 14:00:00;11236.055320474663
2024-12-05 14:15:00;11247.086078798551
2024-12-05 14:30:00;11267.518140085618
2024-12-05 14:45:00;11296.432003607668
2024-12-05 15:00:00;11332.449521729728
2024-12-05 15:15:00;11373.785568525615
2024-12-05 15:30:00;11418.324031752318
2024-12-05 15:45:00;11463.714225755215
2024-12-05 16:00:00;11507.482418142668
2024-12-05 16:15:00;11547.152085296122
2024-12-05 16:30:00;11580.365837736734
2024-12-05 16:45:00;11605.001736728504
2024-12-05 17:00:00;11619.27697953983
2024-12-05 17:15:00;11621.832648939073
2024-12-05 17:30:00;11611.794361545522
2024-12-05 17:45:00;11588.80513733761
2024-12-05 18:00:00;11553.028552879667
2024-12-05 18:15:00;11505.122121422697
2024-12-05 18:30:00;11446.182739382783
2024-12-05 18:45:00;11377.667826082496
2024-12-05 19:00:00;11301.297343220409
2024-12-05 19:15:00;11218.943106670384
2024-12-05 19:30:00;11132.512615448977
2024-12-05 19:45:00;11043.83496281235
2024-12-05 20:00:00;10954.556239458734
2024-12-05 20:15:00;10866.051197097986
2024-12-05 20:30:00;10779.356852585302
2024-12-05 20:45:00;10695.132247698637
2024-12-05 21:00:00;10613.646836633128
2024-12-05 21:15:00;10534.798062721997
2024-12-05 21:30:00;10458.156736306997
2024-12-05 21:45:00;10383.036965593883
2024-12-05 22:00:00;10308.585743847465
2024-12-05 22:15:00;10233.88596852752
2024-12-05 22:30:00;10158.065751209495
2024-12-05 22:45:00;10080.406428985483
2024-12-05 23:00:00;10000.441741223736
2024-12-05 23:15:00;9918.041185293834
2024-12-05 23:30:00;9833.471577264343
2024-12-05 23:45:00;9747.432247237395
